Acronym,Definition,Source(s)
JEDEC,Joint Electron Device Engineering Council,HPS_Common_Platform_Engineering_Specification.pdf page 4
JESD,JEDEC Standards and Documents,HPS_Common_Platform_Engineering_Specification.pdf page 4
JLAB,Jefferson National Accelerator Laboratory,LCLSII-HE-1.1-PM-0219.pdf page 5
JLAB,Jefferson Lab,Performance_LLRF_System.pdf page 3
JLAB,"Thomas Jefferson Lab located at Newport News, VA",LCLS-II_Cryoplant_Engineering_AE_Assessment_of_Design.pdf page 3
JLAB,Jefferson Laboratory (same as TJNAF),CDR-full.pdf page 513
JLAB,Thomas Jefferson National Accelerator Facility,Accelerator_Systems_to_Cryogenic_Systems.pdf page 3
JLAB,"Thomas Jefferson National Accelerator Facility, located in Newport News, VA",Engineering_Design_Services_for_Cold_Box_Room_Platform_Modifications.pdf page 3
JLab,Jefferson National Accelerator Facility,Cryogenic_Plant.pdf page 4
JLab,Jefferson Lab,FMEA_For_the_BCS_Average_Current_Monitor.pdf page 1
JLab,Thomas Jefferson National Accelerator Facility,1.3_GHz_Cryomodule_Interlock_Requirements.pdf page 2
JLab,Jefferson Lab / Thomas Jefferson National Accelerator Facility,Tooling_FRS.pdf page 2
JSA,Job Safety Analysis. Within this document Jefferson Science Associates will not be abbreviated to JSA,Energy_Isolation_Plan-S0-10_Linac_Removal.pdf page 5
JSA,Activity Hazard Analysis,Construction_Project_Safety_and_Health_Plan.pdf page 6
JSA,Job Safety Analysis,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
JSA,Job Safety Analyses,LCLSII-HE-1.3-PP-0706.pdf page 5
JT,Joule Thomson Valve,SC_Linac_Cryomodule_Cool_Down_Requirements.pdf page 2
JT,"Joule-Thomson effect, fluid temperature change due to a throttling process",LCLSII-HE-1.2-FR-0052.pdf page 2
JT,Joule-Thompson: type of expansion valve used to decrease the temperature of a gas,1.3_GHz_Cryomodule_Interfaces.pdf page 4
JTAG,Joint Test Action Group,HPS_Common_Platform_Engineering_Specification.pdf page 4
K-B,Kirkpatrick Baez,XTES_In-Coupling_Mirror_System_ESD.pdf page 3
K-B,Kirkpatrick-Baez optics,CDR-full.pdf page 513
KB,Kirkpatrick-Baez (Mirror),LCLSII-HE-1.5-ES-0647.pdf page 4
KB,Kirkpatrick-Baez,XTES_KB_Mirrors.pdf page 2
KCS,Klystron Cooling System,CDR-full.pdf page 513
KEK,"Kō Enerugī Kasokuki Kenkyū Kikō, Japan High-Engy Acc. Resrch Org.",CDR-full.pdf page 513
KG,Klystron Gallery,LCLSII-HE-1.6-SW-0799.pdf page 6
KG,"Klystron Gallery, Building 002 (B002) on the SLAC Campus",Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 3
KOM,Kick Off Meeting,LCLSII-HE-1.3-SW-0076.pdf page 10
KOM,Kick-Off Meeting,LCLSII-HE-1.2-TS-0206.pdf page 8
KPP,Key Performance Parameters,LCLSII-HE-1.1-PR-0038.pdf page 3
KPP,Key Performance Parameter,Threshold_KPP_Demonstration_Plan_and_Verification.pdf page 3
KV,Kilo Volts,CDR-full.pdf page 513
KVA,Kilo Volt-Amperes,CDR-full.pdf page 513
Klystron Gallery,"The aboveground structure housing klystrons, water systems, electronics, and other support equipment used to operate theLinac. Building 002 on the SLAC campus.",LCLS-II_LCLS_CLTS.pdf page 3
L-Band,"RF range from 1 to 2 GHz, as defined by IEEE",LCLSII-HE-1.5-FR-0711.pdf page 5
L-band,Radio frequency equipment operating at roughly 1.5GHz.,CDR-full.pdf page 513
L0,"Linac section consisting of one CM, just after the gun",LCLSII-HE-1.1-EN-0579.pdf page 3
L0,First Cryomodule after the gun,LCLS-II_Beam_Containment_System_PLC_ESD.pdf page 3
L0,Injector linac section in LCLS-II layout (1 cryo module),CDR-full.pdf page 513
"L0, L1, L2, L3",SC linac sections consisting of cryomodules,Threshold_KPP_Demonstration_Plan_and_Verification.pdf page 3
"L0, L1, L2, L3",Linac sections,SC_Linac_Cryomodule_Cool_Down_Requirements.pdf page 2
L1,First multi-cryo module linac section in LCLS-II layout – before BC1,CDR-full.pdf page 513
L1,Linac section consisting of two 1.3 GHz CMs and two 3.9 GHz CMs,LCLSII-HE-1.1-EN-0579.pdf page 3
L1 Linac:,L1B: CM02-03 & CMH1-2,LCLSII-HE-1.1-PR-0018.pdf page 8
L2,Second multi-cryo module linac section in LCLS-II layout – before BC2,CDR-full.pdf page 513
L2,Linac section consisting of 12 CMs,LCLSII-HE-1.1-EN-0579.pdf page 3
L2 Linac:,L2B: CM04-15,LCLSII-HE-1.1-PR-0018.pdf page 8
L2HE,LCLS II High-Energy,LCLSII-HE-1.5-IC-0488.pdf page 4
L2HE,LCLS-II High Energy,LCLSII-HE-1.4-IC-0389.pdf page 3
L2S-I,LCLS-II Science Instruments,L2SI-ES-0269.pdf page 3
L2SI,LCLS-2 Strategic Initiative Instruments,Radiation_Safety_Requirements_for_LCLS-II_FEE.pdf page 3
L2SI,LCLS II Strategic Initiative,LCLSII-HE-1.4-ES-0651.pdf page 3
L3,Linac section consisting of 20 CMs,LCLSII-HE-1.1-EN-0579.pdf page 3
L3,Third multi-cryo module linac section in LCLS-II layout – after BC2,CDR-full.pdf page 513
L3 EXT,Extension Area following L3 Area (as defined in the MAD database),Bypass_Mechanical_Specifications.pdf page 3
L3 Linac:,"L3B: CM16-25, vac. break, CM26-31",LCLSII-HE-1.1-PR-0018.pdf page 8
L4,Additional linac section to be added during LCLS-II-HE consisting of 23 CMs,LCLSII-HE-1.1-EN-0579.pdf page 3
L4 Linac:,"L4B: CM33-45, vac. break, CM46-59",LCLSII-HE-1.1-PR-0018.pdf page 8
L4 cryofeed,SLOT32 in slot CM32,LCLSII-HE-1.1-PR-0018.pdf page 8
LAEW,Lead Authorized Electrical Worker,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
LAG,Link Aggregation Group,LCLSII-HE-1.5-ES-0168.pdf page 3
LAMP,Soft X-ray Scattering Experimental End Station,CDR-full.pdf page 513
LAMP,Multirole Soft X-ray End Station for Scattering,XTES_In-Coupling_Mirror_System_ESD.pdf page 3
LAMP,LCLS-ASG-Michigan Project,XTES_to_Experimental_End_Stations.pdf page 3
LAN,Local Area Network,HRS.00.00-SR-SLAC-SRR-3-Controls_Report.pdf page 3
LASA,Laboratorio Acceleratori e Superconducttività Applicata,CDR-full.pdf page 513
LBL,Lawrence Berkeley National Laboratory,1.3_GHz_Cryomodule_Interlock_Requirements.pdf page 2
LBLM,"Long Beam Loss Monitor, used as a BCS device to limit beam loss in an area.",Beam_Containment_Controls_PRD.pdf page 4
LBLM,Long Beam Loss Monitor. Used as a BCS device to limit beam loss in an area. New device part of LCLS-II project based on Cherenkov light detection in a fiber.,Engineering_Note_for_Cu_2019_Downtime_Work.pdf page 2
LBLM,"Long beam loss monitor, used as a BCS device to limit beam loss in an area",LCLS-II_Beam_Containment_System_PLC_ESD.pdf page 3
LBLM,Long Beam Loss Monitor,LCLS-II_Beam_Containment_System_ESD.pdf page 5
LBLM,Line Beam Loss Monitor,Radiation_Protection_Requirements_for_Linac_Penetrations.pdf page 3
LBLM:,Coverage,Procedure_for_Gain_Adjustments_for_LBLMs_Covering_the_Cryomodules_and_the_Bypass_Line.pdf page 10
LBNL,Lawrence Berkeley National Laboratory,Electron_Beam_Controls_Interfaces.pdf page 4
LBNL,Lawrence Berkeley National Lab,LCLSII-HE-1.3-PP-0706.pdf page 5
LCA,Laser Controlled Area,S1-S7-S10-Walls_Doors_Gate_FRS.pdf page 3
LCB,Lower Coldbox (horizontal),C1_4.5_K_CBX_Rigging_and_Installation.pdf page 3
LCLS,The Linac Coherent Light Source Facility,CDR-full.pdf page 513
LCLS,Linac Coherent Light Source,lcw_requirements.pdf page 2
LCLS,Light Coherent Laser Source,Fire_Sprinkler_Overpressure_Solution.pdf page 3
LCLS,"Linear Coherent Light Source, the installation location for the equipment specified",LERF_Cryogenic_Control_Rack_Fabrication_SOW.pdf page 3
LCLS,Linac Coherent Light Source (Linac),LCLSII_BSY_Anchors_Drilling_and_Stands_Installation.pdf page 2
LCLS,Linear Coherent Light Source,LCLS-II_Profile_Monitor_Controls_Functional_Requirements.pdf page 2
LCLS II Infrastructure,The Project Infrastructure Systems which support the LCLS II Program.,SLAC_FO_to_LCLSII_Infrastructure_Systems.pdf page 9
LCLS-I,LINAC Coherent Light Source (uses SLAC linac),CDR-full.pdf page 513
LCLS-II,Linac Coherent Light Source upgrade,1.3_GHz_Cryomodule_Technical_Description.pdf page 3
LCLS-II,Linac Coherent Light Source-II,LTU_ESD.pdf page 3
LCLS-II,Linac Coherent Light Source,Quality_Assurance_Plan.pdf page 5
LCLS-II,Linac Coherent Light Source – phase II,XTES_PRD.pdf page 2
LCLS-II,Linac Coherent Laser Source II,LCLSII-HE-1.3-PP-0593.pdf page 4
LCLS-II,Linac Coherent Light Source II Project,CDR-full.pdf page 513
LCLS-II,Linac Coherent Light Source II,Cryoplant_GHe_Tanks_and_LN2_Dewar_Anchoring_and_Rigging.pdf page 3
LCLS-II,Linac Coherent Light Source-II at SLAC,LCLSII-HE-1.3-TS-0393.pdf page 6
LCLS-II,Linac Coherent Light Source - II,Adjustable_Apertures__SOW.pdf page 2
LCLS-II,Currently installed superconducting accelerator consisting of 35 1.3 GHz cryomodules and 2 3.9 GHz cryomodules. Also known as LCLS-SC and the “superconducting linac.”,LCLSII-HE-1.1-EN-0579.pdf page 3
LCLS-II HE,Linac Coherent Light Source – II High Energy,LCLSII-HE-1.7-SW-0447.pdf page 23
LCLS-II HE,LINAC Coherent Light Source II High Energy,LCLSII-HE-1.5-FR-0711.pdf page 5
LCLS-II-HE,Linac Coherent Light Source II High Energy,LCLSII-HE-1.3-ES-0075.pdf page 3
LCLS-II-HE,Linac Coherent Light Source – High Energy,LCLSII-HE-1.3-ES-0712.pdf page 3
LCLS-II-HE,LCLS-II High Energy,LCLSII-HE-1.3-SW-0618.pdf page 4
LCLS-II-HE,High energy upgrade to LCLS-II/LCLS-SC. Consists of an additional 23 1.3 GHz cryomodules that will be installed in the L4 linac section.,LCLSII-HE-1.1-EN-0579.pdf page 3
LCLS-II-HE,Linac Coherent Light Source – II High Energy,LCLSII-HE-1.6-RD-0292.pdf page 3
LCLS-II-HE,Linac Coherent Light Source-II-High Energy,LCLSII-HE-1.1-PM-0009.pdf page 7
LCLS-II-HE,Linac Coherent Light Source-II High Energy,LCLSII-HE-1.6-RD-0337.pdf page 3
LCLS-II-HE,Linac Coherent Light Source II – High Energy Upgrade,LCLSII-HE-1.6-SW-0694.pdf page 3
LCLS1cuH,LCLS copper Hard X-Ray Line,LCLSII-to-AD_ICD.pdf page 2
LCLS1cuH,LCLS2 Copper Hard Line (Existing Line),BSY_ESD.pdf page 3
LCLS2,Linac Coherent Light Source2,LCLSII_BSY_DUMP_Installation_and_Alignment_Inside_the_Frame.pdf page 1
LCLS2ScD,"LCLS-II electron beam dump for beam originating in the superconducting linac, and the beam line connecting to that dump",BSY_Dump_Removal_and_Installation_Procedure.pdf page 6
LCLS2ScS,"LCLS-II electron beam line from the origin of the superconducting linac to the soft x-ray beam dump in the EBD enclosure, by way of the SXR",BSY_Dump_Removal_and_Installation_Procedure.pdf page 6
LCLS2cuH,Linac Copper Hard X-Ray Line,LCLSII_BSY_Anchors_Drilling_and_Stands_Installation.pdf page 2
LCLS2cuS,Linac Copper to Soft X-Ray Line,LCLSII_BSY_Anchors_Drilling_and_Stands_Installation.pdf page 2
LCLS2scD,Linac Super Conducting Dump X-Ray Line,LCLSII_BSY_Anchors_Drilling_and_Stands_Installation.pdf page 2
LCLS2scH,Linac Super Conducting Hard X-Ray Line,LCLSII_BSY_Anchors_Drilling_and_Stands_Installation.pdf page 2
LCLS2scS,Superconducting Soft X-Ray Line,LCLSII_BSY_DUMP_Installation_and_Alignment_Inside_the_Frame.pdf page 1
LCLS2scS,Linac Super Conducting Soft X-Ray Line,LCLSII_BSY_Anchors_Drilling_and_Stands_Installation.pdf page 2
LCLSII,Linac Coherent Light Source II (LCLSII),LCLSII_BSY_Anchors_Drilling_and_Stands_Installation.pdf page 2
LCLS_I,The Room temperature LINAC driven X-ray FEL,Controls_System_Requirements.pdf page 1
LCLSscD,LCLS-II Dump Line,LCLSII-to-AD_ICD.pdf page 2
LCLSscD,LCLS2 Dump Line,BSY_ESD.pdf page 3
LCLSscH,LCLS-II Hard X-Ray Line,LCLSII-to-AD_ICD.pdf page 2
LCLSscH,LCLS2 Hard X-ray Line,BSY_ESD.pdf page 3
LCLSscS,LCLS-II Soft X-Ray Line,LCLSII-to-AD_ICD.pdf page 2
LCLSscS,LCLS2 Soft X-ray Line,BSY_ESD.pdf page 3
LCW,Low-Conductivity water,LCLSII-HE-1.3-IR-0702.pdf page 3
LCW,Low Conductivity Water,lcw_requirements.pdf page 2
LDT,Long Downtime,LCLS-II_LCLS_CLTS.pdf page 3
LEB,Low Energy Beamline,LCLS-II_EIC_Faraday_Cup_Thermal_Analysis.pdf page 2
LED,Light-Emitting Diode,BCS_ACM_Spartan_Firmware_FRS.pdf page 3
LED,Light Emitting Diode,LCLS-II_Profile_Monitor_Controls_Functional_Requirements.pdf page 2
LEED,Leadership in Energy and Environmental Design,CDR-full.pdf page 513
LEI,Low Emittance Injector,LCLSII-HE-1.7-SW-0447.pdf page 23
LEL,Lower Explosive Limit,Radiation_Protection_Requirements_for_the_Main_Dumps_and_BSY_Dump_LCW_Systems.pdf page 2
LER,Low Energy Ring,Fire_Hazard_Analysis.pdf page 35
LERD,Linac Equipment Removal and Disposition Project,Energy_Isolation_Plan-S0-10_Linac_Removal.pdf page 6
LERF,Low Energy Recirculating Facility,LCLS-II_ICD_with_JLAB_for_LERF_Test_Facility.pdf page 2
LERF,Cryo Module Test Facility at JLab,LCLSII-HE-1.5-IC-0405.pdf page 3
LEX,Low-Energy Extraction,LCLSII-HE-1.1-PM-0219.pdf page 5
LEX,Low Energy Extraction from SRF linac,LCLSII-HE-1.3-PR-0022.pdf page 2
LFD,Lorentz Force Detuning,CDR-full.pdf page 513
LH,Laser Heat By-pass,LCLS-II_CDS_Piping_UT_Examination_Service.pdf page 4
LH,Left Hand,LCLSII-HE-1.4-PP-0756.pdf page 3
LH,Laser Heater,Injector_Mechanical_Specifications.pdf page 3
LHC,Large Hadron Collider,CDR-full.pdf page 514
LHD,Liquid Helium Dewar,HRS.00.00-SR-SLAC-SRR-7-Electrical_Report.pdf page 6
LHU,Laser Heater Undulator,LCLS-II_Laser_Heater_Undulator_Controls_Checkout_Procedure.pdf page 2
LHe,Liquid helium,LCLSII-HE-1.3-FR-0054.pdf page 4
LIC,Laser-In-Coupling,LCLSII-HE-1.4-ES-0578.pdf page 3
LIC,Laser Incoupling Chamber,LCLSII-HE-1.4-ES-0477.pdf page 4
LIC,Laser In Coupling,LCLSII-HE-1.4-PP-0756.pdf page 3
LINAC,Linear Accelerator,PPS_to_InfrastructureSystems.pdf page 2
LINAC,Term that indicates a set of SRF Cryomodules connected in series beam-wise,LCLSII-HE-1.3-TS-0393.pdf page 6
LINAC East,The LINAC downstream of the Shield Wall at LINAC Sector 20. This is the LCLS LINAC.,Radiation_Safety_System_Controls.pdf page 4
LINAC West,The LINAC upstream of the Shield Wall at LINAC Sector 20. The LCLS-II SC LINAC will use the first half of LINAC West.,Radiation_Safety_System_Controls.pdf page 4
LION,Long Ionization Chamber,Radiation_Protection_Requirements_for_Linac_Penetrations.pdf page 3
LION,Long Ionization Chambers,CDR-full.pdf page 514
LION,Long Ion Chamber. Used as a BCS device to limit beam loss in an area. Legacy device.,Engineering_Note_for_Cu_2019_Downtime_Work.pdf page 2
LION,Long ION chamber,Radiation_Protection_Requirements_for_the_Beam_Transport_Hall.pdf page 3
LJE,Liquid Jet Endstation,LCLSII-HE-1.4-ES-0570.pdf page 3
LLI,Long lead items,LCLSII-HE-1.2-TS-0206.pdf page 8
LLRF,Low-level radiofrequency,LCLSII-HE-1.2-TS-0206.pdf page 8
LLRF,Low Level RF control system,Controls_System_Requirements.pdf page 1
LLRF,Low-Level Radio Frequency,LCLSII-HE-1.1-PR-0038.pdf page 3
LLRF,Low Level RF,Bunch_Charge_Monitor_BCM_Controls_Functional_Requirements.pdf page 3
LLRF,Low Level Radio Frequency (RF),Infrastructure_AE_Engineering_Services_CP2_SOW.pdf page 4
LLRF,Low Level Radio Frequency System,Beam_Position_Monitor_BPM_Controls_Functional_Requirements.pdf page 2
LLRF,Low Level Radio Frequency,HPS_Common_Platform_Functional_Requirements_Specification.pdf page 2
LM,Laser Incoupling Mirror,LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
LMCB,Lower Main Coldbox,HRS.00.00-SR-SLAC-SRR-7-Electrical_Report.pdf page 6
LMS,"Laboratory Management Systems, SLAC",Quality_Assurance_Plan.pdf page 5
LN,Liquid Nitrogen,CDR-full.pdf page 514
LN2,Liquid Nitrogen,LCLSII-HE-1.4-ES-0422.pdf page 4
LO,Local Oscillator,LCLSII-HE-1.5-ES-0192.pdf page 4
LO/TO,Lockout/Tagout,Construction_Project_Safety_and_Health_Plan.pdf page 6
LO/TO or LOTO,Lockout/Tag out per ESH Manual,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 3
LOA,Laboratoire d'Optique Appliquée,CDR-full.pdf page 514
LOC,Laser-Out-Coupling,LCLSII-HE-1.4-ES-0578.pdf page 3
LODCM,Large Offset Double Crystal Monochromator,LCLSII-HE-1.4-ES-0422.pdf page 4
LODCM,Large-Offset Double Crystal Monochromator,LCLSII-HE-1.5-ES-0691.pdf page 3
LODCM,Large Offset Monochromator,LCLSII-HE-1.4-ES-0423.pdf page 4
LOTO,Lock Out Tag Out,CDR-full.pdf page 514
LOTO,Lockout/Tag out,Energy_Isolation_Plan-S0-10_Linac_Removal.pdf page 6
LOTO,Lock-Out Tag-Out (of hazardous stored electrical energy),AD_Operations_to_LCLS-II_Undulator_Removal.pdf page 4
LOTO,Lock and Tag,HRS.00.00-SLAC-Cryogenics_Building_905_Areas_Delineation.pdf page 2
LOTO,Lockout-Tagout Procedure,Cryoplant_Electrical_Safety_Review_Plan.pdf page 5
LOTO,Lock-out/Tag-out,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
LP,Low Pressure,HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
"LP, MP, HP","Low, medium and high pressure stage",Warm_Helium_Compressor_Installation__in_B905.pdf page 3
LPF,Low-Pass Filter,Bunch_Charge_Monitor_(BCM)_Monitor_Controls_Engineering_Specification.pdf page 3
LPI,Linac and Photon Infrastructure,LCLSII-HE-1.6-SW-0694.pdf page 3
LR,Line Reactor,HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
LRDP,Long Range Development Plan,CDR-full.pdf page 514
LSB,Limit Switch Box,SXR_Undulator_Motion_Control_ESD.pdf page 3
LSC,Life Safety Code®,Fire_Hazard_Analysis.pdf page 35
LSCS-II,Linac Coherent Light Source Expansion,LCLSII-HE-1.6-SW-0433.pdf page 3
LSCS-II,Linac Coherent Light Source II,Engineering_Design_Services_for_Cold_Box_Room_Platform_Modifications.pdf page 3
LSCS-II,Linac Coherent Light Source,Infrastructure_AE_Engineering_Services_CP2_SOW.pdf page 4
LSDS,Liquid Sample Delivery System,LCLSII-HE-1.4-ES-0570.pdf page 3
LSI,Limit Switch Interface,HXR_Undulator_Motion_Control_ESD.pdf page 3
LSIG,Type of circuit breaker (long-time+short-time+instantaneous+ground fault),CDR-full.pdf page 514
LSO,Laser Safety Officer,Radiation_Safety_System_Controls.pdf page 4
LSO,Laser Safety Officer (the AHJ for the Laser Safety System),RSS_Controls.pdf page 6
LSS,Laser Safety Shutter,LCLS-II_Beam_Containment_System_PLC_ESD.pdf page 3
LSS,Laser Safety Systems,A-E_Services_NEH_Reconfiguration_SOW.pdf page 4
LSS,"Laser Safety System Used for non-ionizing radiation protection of lasers. If a laser is high enough power to create ionizing radiation, the laser is also interlocked to a PPS or HPS as a radiation hazard.",Radiation_Safety_System_Controls.pdf page 4
LSS,Laser Safety System,LCLSII-HE-1.1-QA-0230.pdf page 6
LSZH,Low Smoke Zero Halogen (electrical cable jacketing designation),Fire_Hazard_Analysis.pdf page 36
LT,"Low temperature, 5 – 8 K for thermal intercepting",LCLSII-HE-1.3-TS-0393.pdf page 6
LT,"Low temperature, 5– 8 K for thermal intercepting",LCLS-II_CDS_Distribution_Box_ESD.pdf page 5
LTI,Low temperature intercept,Cryogenic_Distribution_System_ICD.pdf page 3
LTP,Long Trace Profiler,Long_Trace_Optical_Profilometer.pdf page 2
LTP-OH,Long Trace Profiler Optic Head,Long_Trace_Optical_Profilometer.pdf page 2
LTR,LINAC to Ring,PPS_to_InfrastructureSystems.pdf page 2
LTTI,5 K Circuit (lines C and D),SC_Linac_Cryomodule_Cool_Down_Requirements.pdf page 2
LTTI,Low Temperature Thermal Intercept,LCLSII-HE-1.3-FR-0054.pdf page 4
LTU,Linac-To-Undulator (electron transport line),CDR-full.pdf page 514
LTU,LINAC-To-Undulator,LCLS-II_LTU_Work_in_Confined_Areas.pdf page 2
LTU,Linac to Undulator,LTU_to_Infrastructure.pdf page 2
LTUH,Linac-To-Undulator: for Hard x-ray side (electron transport line),CDR-full.pdf page 514
LTUH,Linac to Undulator Hall,LCLSII-HE-1.6-SW-0433.pdf page 3
LTUH,"LINAC to Undulator, Hard X-ray beamline",LTU_ESD.pdf page 3
LTUH,Linac To Undulator HXR transport line,LCLS-II_Spares_Plan.pdf page 3
LTUH,Linac to Undulator Hard,LTU_to_Infrastructure.pdf page 2
LTUS,Linac To Undulator SXR transport line,LCLS-II_Spares_Plan.pdf page 3
LTUS,"LINAC to Undulator, Soft X-ray beamline",LTU_ESD.pdf page 3
LTUS,Linac-To-Undulator: for Soft x-ray side (electron transport line),CDR-full.pdf page 514
LTUS,Linac to Undulator Soft,LTU_to_Infrastructure.pdf page 2
LTUS,Linac to Undulator System,LCLSII-HE-1.6-SW-0433.pdf page 3
LURE,Laboratoire pour l'utilisation du rayonnement électromagnétique.,CDR-full.pdf page 514
LUSI,LCLS Ultrafast Science Instruments,X-ray_Transport_and_Experimental_Systems_ESD.pdf page 5
LUSI,LCLS Ultrafast Science Instrumentation,CDR-full.pdf page 514
LV,Low-Voltage,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
LVDS,Low-Voltage Differential Signaling,HPS_Common_Platform_Engineering_Specification.pdf page 4
LVDT,Linear Variable Differential Transformer,Single_Slit_Absorber_ESD.pdf page 4
Linac,"Linear Accelerator, building B001 and B002",Engineering_Design_Services_for_Cold_Box_Room_Platform_Modifications.pdf page 3
Linac,Superconducting 4-GeV Linac,Air_Ventilation.pdf page 3
Linac,"Linear Accelerator, building B001 is Klystron Gallery and B002 is the Accelerator Housing",LCLSII_Cryoplant_A_E_services-Electrical_As-Builts.pdf page 2
Linac,Linear Accelerator,Warm_Helium_Compressor_Installation__in_B905.pdf page 3
Linac Housing,"The underground tunnel that houses the linear accelerator beamline. Building 001 on the SLAC campus, synonymous with Accelerator Housing.",LCLS-II_LCLS_CLTS.pdf page 3
M&O,Managing and Operating,CDR-full.pdf page 514
M&TE,Measuring & Test Equipment,LCLSII-HE-1.1-PM-0009.pdf page 7
MAC,Media Access Controller,HPS_Common_Platform_Engineering_Specification.pdf page 4
MAD,Methodical Accelerator Design,LCLS-II_Bunch_Chicane_2B_Controls_Checkout_Procedure.pdf page 2
MAD,Multi-wavelength Anomalous Dispersion,CDR-full.pdf page 514
MAD,Methodical Accelerator Design (charged particle optics software),CDR-full.pdf page 514
MAD Deck,Methodical Accelerator Design,LCLSII_BSY_DUMP_Installation_and_Alignment_Inside_the_Frame.pdf page 1
MAD Name,EPICS Device Name,LCLS-II_Cryomodule_Magnet_Power_Supply_Cold_Checkout.pdf page 10
MAD8,Beam optics code,LCLSII-HE-1.3-PR-0022.pdf page 2
MAD8,Beam optics code used for designing the LCLS-II-HE beamlines (SLAC version 8.52),LCLSII-HE-1.1-PR-0028.pdf page 3
MAGNETID,Magnet ID (Element name),Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 12
MAWP,"Maximum Allowable Working Pressure, a term that is used to define the safe pressure rating of a component or test system",1.3_GHz_Cryomodule_Technical_Description.pdf page 3
MAWP,Maximum Allowable Work Pressure,LCLSII-HE-1.7-SW-0447.pdf page 23
MAWP,"Maximum Allowable Working Pressure, a term that is used to define the safe pressure rating of a component or system",LCLSII-HE-1.2-FR-0052.pdf page 2
MAWP,Maximum Allowable Working Pressure,FNAL_CMTS1.pdf page 3
MBC,Master Beam Controller. This existing console sits in ACR. It acts as the hardware interface between operators in ACR and LCLS II BCS.,Beam_Containment_Controls_PRD.pdf page 4
MBC,Master Beam Controller Hardware in MCC that controls the BCS reset and administrative inhibition of beam operations. The hardware also provides a hardware interface for MCC operators to set the maximum allowed beam rates for operational purposes. The beam rates set the upper allowed (by operators) beam rate for the MPS.,RSS_Controls.pdf page 6
MBC,Master Beam Controller,LCLS-II_Beam_Containment_System_ESD.pdf page 5
MC,Material certificate,SRD_Dressed_Cavity_TS.pdf page 109
MCB,Main Circuit Breaker,CDR-full.pdf page 514
MCB,Maximum Credible Beam,LCLSII-HE-1.4-ES-0651.pdf page 3
MCB,Main Coldbox,HRS.00.00-SR-SLAC-SRR-7-Electrical_Report.pdf page 6
MCC,"Main Control Center (aka Main Control Room) at B005. The location of operations staff until the relocation to B052, RSB.",Radiation_Safety_System_Controls.pdf page 4
MCC,Main Control Center (building 005),LCLS-II_Beam_Containment_System_ESD.pdf page 5
MCC,Master Control Room – currently another name for B005,LCLSII-HE-1.5-ES-0326.pdf page 4
MCC,Main Control Center,CP3_Design_SOW.pdf page 4
MCC,Motor Control Center,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
MCC,Main Control Center. The main control center for the operation of the accelerator was formerly in building 5. See also ACR.,RSS_Controls.pdf page 6
MCC(Electrical),Motor Control Center,CP3_Design_SOW.pdf page 4
MCFL,Maximum Credible Fire Loss,Fire_Hazard_Analysis.pdf page 36
MCI,Maximum Credible Incident,PPS_Requirements_(Electron_Beamlines).pdf page 3
MCI,Most Credible Incident,RP_Injector_PRD.pdf page 2
MCL,Maximum Contaminant Level (20000 pCi/L for 3H in drinking water),Environmental_radiation_monitoring.pdf page 2
MCM,"Magnet current monitor, used as a BCS device to monitor current supplied to magnets",Requirements_for_EBD_Beam-dump_Vacuum_Chamber_Protection.pdf page 3
MCM,"Magnet current monitor, used as a BCS device to monitor current supplied to bend magnets. This is a device new for LCLS-II BCS, similar in function to the Dual Trip comparators that are part of the legacy system.",Engineering_Note_for_Cu_2019_Downtime_Work.pdf page 2
MCM,Magnet Current Monitor,LCLS-II_Beam_Containment_System_ESD.pdf page 5
MCM,"Magnet current monitor, used as a BCS device to monitor current supplied to bend magnets",LCLS-II_Beam_Containment_System_PLC_ESD.pdf page 3
MCOR,Magnet Controller,CDR-full.pdf page 514
MCOR,"Magnet Corrector Power Supply, aka Trim Power Supply",Magnet_Power_Supply_Controls_Internal_Interface_Requirements.pdf page 2
MCOR,"Bipolar Corrector Magnet Power Supply System with up to16-channel precision magnet driver, capable of providing bi-polar output currents in the ranges of +/1, 2, 6,9,12 and 30A, 45V.",Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 4
MCP,Multi-Channel Plate,CDR-full.pdf page 514
MCS,"Master Control System (EPICS), the SLAC central control system for the operation of the accelerator facility from the LCLS-II injector through the Electron Beam Dump.",RSS_Controls.pdf page 7
